ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/multiprocessing/synchronize.py:142(BoundedSemaphore)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/multiprocessing/synchronize.py:159(Lock)
1,0.000,0.000,0.001,0.001,/home/danlessa/.miniconda3/lib/python3.9/multiprocessing/synchronize.py:186(__init__)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/multiprocessing/synchronize.py:184(RLock)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/multiprocessing/synchronize.py:210(Condition)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/multiprocessing/synchronize.py:321(Event)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/multiprocessing/synchronize.py:360(Barrier)
1,0.000,0.000,0.002,0.002,/home/danlessa/.miniconda3/lib/python3.9/multiprocessing/synchronize.py:10(<module>)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/multiprocessing/util.py:48(debug)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/multiprocessing/util.py:108(_platform_supports_abstract_sockets)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/multiprocessing/util.py:171(register_after_fork)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/multiprocessing/util.py:182(Finalize)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/multiprocessing/util.py:368(ForkAwareThreadLock)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/multiprocessing/util.py:385(ForkAwareLocal)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/multiprocessing/util.py:10(<module>)
1,0.000,0.000,0.012,0.012,/home/danlessa/.miniconda3/lib/python3.9/site-packages/pandas/core/computation/check.py:1(<module>)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/pandas/core/computation/expressions.py:40(set_use_numexpr)
2,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/pandas/core/computation/expressions.py:62(_evaluate_standard)
5,0.000,0.000,0.001,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/pandas/core/computation/expressions.py:72(_can_use_numexpr)
5,0.000,0.000,0.004,0.001,/home/danlessa/.miniconda3/lib/python3.9/site-packages/pandas/core/computation/expressions.py:98(_evaluate_numexpr)
5,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/pandas/core/computation/expressions.py:187(_has_bool_dtype)
5,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/pandas/core/computation/expressions.py:196(_bool_arith_check)
5,0.000,0.000,0.004,0.001,/home/danlessa/.miniconda3/lib/python3.9/site-packages/pandas/core/computation/expressions.py:218(evaluate)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:80(ASTNode)
6/2,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:166(<listcomp>)
6/2,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:158(expressionToAST)
6/2,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:169(sigPerms)
3,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:197(<genexpr>)
3/1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:228(<listcomp>)
3/1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:188(typeCompileAst)
3,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:242(__init__)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:231(Register)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:260(Immediate)
2,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:273(stringToExpression)
5,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:311(<genexpr>)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:309(isReduction)
2,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:332(<listcomp>)
2,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:314(getInputOrder)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:354(<listcomp>)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:345(getConstants)
2,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:368(assignLeafRegisters)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:380(assignBranchRegisters)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:387(collapseDuplicateSubtrees)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:413(<listcomp>)
2,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:414(<genexpr>)
2,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:416(<genexpr>)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:427(<listcomp>)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:409(optimizeTemporariesAllocation)
2,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:442(setOrderedRegisterNumbers)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:450(setRegisterNumbersForTemporaries)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:483(<listcomp>)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:474(convertASTtoThreeAddrForm)
3,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:492(nToChr)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:505(quadrupleToString)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:512(toString)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:525(<listcomp>)
1,0.000,0.000,0.000,0.000,/home/danlessa/.miniconda3/lib/python3.9/site-packages/numexpr/necompiler.py:487(compileThreeAddrForm)
